epoch,loss,mae,r2_score,val_loss,val_mae,val_r2_score
0,666.2698364257812,16.648099899291992,-15.149711608886719,31.02170181274414,4.306130409240723,0.2489168643951416
1,62.03168869018555,6.243770599365234,-0.5035578012466431,9.643799781799316,2.4453020095825195,0.7665087580680847
2,53.269927978515625,5.817346096038818,-0.29125797748565674,5.773299217224121,1.830755352973938,0.8602195382118225
3,48.53646469116211,5.537761688232422,-0.17646420001983643,6.375870227813721,2.007617950439453,0.8456303477287292
4,45.42041778564453,5.364440441131592,-0.10097622871398926,5.317569732666016,1.7967652082443237,0.8712534308433533
5,41.854923248291016,5.143832683563232,-0.014521360397338867,11.072342872619629,2.7177605628967285,0.7319215536117554
6,40.147090911865234,5.041759014129639,0.026865661144256592,6.324267864227295,1.973691701889038,0.8468797206878662
7,37.73442459106445,4.89777946472168,0.0853126049041748,7.407307147979736,2.211599826812744,0.8206577301025391
8,36.852333068847656,4.8249945640563965,0.10674476623535156,6.4444804191589355,1.9593136310577393,0.8439692258834839
9,34.422340393066406,4.626614093780518,0.1656838059425354,4.590455055236816,1.6332857608795166,0.8888580203056335
10,32.5306396484375,4.520640850067139,0.21151202917099,8.619032859802246,2.36906099319458,0.7913199663162231
11,31.67278480529785,4.4619669914245605,0.2322906255722046,4.865555763244629,1.7119780778884888,0.882197380065918
12,30.34253692626953,4.360010147094727,0.26449984312057495,4.8158793449401855,1.6754249334335327,0.8834001421928406
13,28.808595657348633,4.251064777374268,0.3017280697822571,6.119568347930908,1.9336048364639282,0.8518358469009399
14,27.246807098388672,4.1223978996276855,0.3395647406578064,4.715164661407471,1.5443652868270874,0.8858386278152466
15,26.287654876708984,4.068037033081055,0.3628612756729126,5.528285503387451,1.811457872390747,0.8661516904830933
16,23.75585174560547,3.855065107345581,0.42417657375335693,14.58684253692627,3.2369651794433594,0.6468300819396973
17,23.26153564453125,3.8162500858306885,0.4361531734466553,4.437776565551758,1.5800749063491821,0.8925546407699585
18,22.32463264465332,3.719665288925171,0.4588884711265564,6.067948818206787,1.6756629943847656,0.8530856370925903
19,21.697343826293945,3.6930344104766846,0.4740633964538574,12.589040756225586,2.8082873821258545,0.6951999664306641
20,19.621749877929688,3.494076728820801,0.5243973731994629,4.598596096038818,1.4583406448364258,0.8886609077453613
21,19.364240646362305,3.4536633491516113,0.5306434035301208,5.148283004760742,1.5706804990768433,0.875352144241333
22,19.00888442993164,3.435513734817505,0.5392565727233887,4.449347496032715,1.3923999071121216,0.8922744393348694
23,17.283342361450195,3.2634451389312744,0.581041693687439,6.071742534637451,1.912861943244934,0.8529937863349915
24,17.420894622802734,3.295740842819214,0.5777389407157898,8.894804000854492,2.374243974685669,0.7846431136131287
25,15.267961502075195,3.0876471996307373,0.629923403263092,7.666465759277344,1.8544732332229614,0.8143830895423889
26,15.508626937866211,3.1131348609924316,0.6240723729133606,8.451974868774414,2.2099123001098633,0.7953646779060364
27,14.68610668182373,3.020070791244507,0.6440235376358032,4.038569450378418,1.3428868055343628,0.9022200107574463
28,14.748605728149414,3.0226478576660156,0.6424952745437622,5.177150249481201,1.3612046241760254,0.8746532201766968
29,14.070003509521484,2.9373867511749268,0.6589540243148804,7.876431465148926,2.1854028701782227,0.8092994689941406
30,13.104695320129395,2.8544504642486572,0.6823464035987854,4.953197479248047,1.4807883501052856,0.8800754547119141
31,12.769662857055664,2.8175272941589355,0.6904733180999756,4.257505893707275,1.3135521411895752,0.8969192504882812
32,12.015071868896484,2.71722674369812,0.7087748646736145,3.9454522132873535,1.313137173652649,0.9044745564460754
